information_source,strategy_count,technical_available_count,native_closure_risk_count,dead_path_count,known_failure_strategy_ids,redundancy_association,historical_performance_association,performance_evidence_note
frequency,56,45,10,1,legacy_biglotto__quick_ml_predict__8b7ba0b52e2d,HIGH,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
gap_recency,28,20,7,1,legacy_biglotto__quick_ml_predict__8b7ba0b52e2d,HIGH,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
hot_cold,39,31,7,1,legacy_biglotto__quick_ml_predict__8b7ba0b52e2d,HIGH,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
deviation,38,30,8,0,,HIGH,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
markov_sequence,31,23,8,0,,HIGH,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
trend,16,13,3,0,,MEDIUM,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
zone_range,19,14,4,1,legacy_biglotto__quick_ml_predict__8b7ba0b52e2d,MEDIUM,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
cooccurrence,12,5,7,0,,MEDIUM,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
pair_triple_structure,35,23,11,1,legacy_biglotto__quick_ml_predict__8b7ba0b52e2d,HIGH,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
historical_feedback,5,5,0,0,,LOW,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
social_anti_popularity,2,2,0,0,,LOW,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
symbolic_temporal,6,4,1,1,legacy_biglotto__quick_ml_predict__8b7ba0b52e2d,MEDIUM,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
other_outcome_blind_randomness,5,5,0,0,,LOW,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
cross_lottery_lagged_context,0,0,0,0,,NONE,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
calendar_schedule_context,0,0,0,0,,NONE,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
draw_order_position,0,0,0,0,,NONE,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
realized_player_popularity,0,0,0,0,,NONE,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
jackpot_sales_market_state,0,0,0,0,,NONE,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
equipment_ballset_regime,0,0,0,0,,NONE,SOURCE_UNAVAILABLE,"Referenced 2,148-execution hit/prize summary was not resolved. Local source-native JSON proves execution/reproduction only; the local snapshot DB covers 11 legacy B649 IDs and only one exact current catalog ID, so it is not a comparable 69-strategy source summary."
