task_id,config_id,component,setting,status,evidence
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C01,DATA_AUTHORITY,Track A official source_snapshot.json,LOCKED,bb0141f88b9db71aa32e64b53a1bc0b77dd9d9b0018dde4f85c4b36bd5783fcd
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C02,TARGET_POPULATION,113000006-115000069,LOCKED,300-target common development benchmark
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C03,PAGINATION,month/endMonth; six pages; pageSize=400,PASS,official query retained in source fixture
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C04,BASELINE,HORIZON_MINIMAX_2,LOCKED,two tickets; sorted number-set history
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C05,CANDIDATE_SET,HORIZON_MINIMAX_2;DEVIATION_2;ZONE_SPLIT_2_OF_3,LOCKED,three same-budget two-ticket portfolios
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C06,SET_ONLY_CONTROL,last-draw set-overlap bucket,LOCKED,order-invariant
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C07,REAL_ORDER_FEATURE,30-draw front-low positional bucket + adjacency bucket,LOCKED,front-low <1.35/>1.65; adjacency <0.16/>0.24; no target row read
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C08,ORDER_SHUFFLED_PLACEBO,SHA-256 deterministic within-draw shuffle seed B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1:ORDER_SHUFFLED_PLACEBO,PASS,six-number set preserved
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C09,STALE_ORDER_PLACEBO,order history stale by 8 eligible draws,LOCKED,same selector and candidate budget
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C10,SELECTOR,chronological M2+ regime lookup; min observations=24,LOCKED,strictly earlier records only
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C11,EXPOSURE,2 tickets per target for all conditions,PASS,same target population and scoring
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C12,SEARCH_CONFIG_COUNT,1,PASS,one locked configuration; no benchmark rescue
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C13,NO_FUTURE_LEAKAGE,order/set keys from rows strictly before target,PASS,target outcomes only after prediction
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C14,CURRENT_TARGET_ORDER,NO,PASS,current draw order never enters features
B649_TRACK_B_LAGGED_PHYSICAL_DRAW_ORDER_LEVEL1_R1,C15,DB_MUTATION,NONE,PASS,task-owned files only
