hypothesis_id,canonical_title,origin,source_provenance,closest_existing_internal_hypothesis,closest_historical_strategy,collision_status,historical_testability,data_readiness,forward_readiness_if_known,new_model_output_required,runtime_requirement,fast_falsification_spec_available,discovery_priority,orthogonality,estimated_compute,execution_status
H01,Cross-strategy residual-gated meta-selector,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__advanced_methods_benchmark__87ee0d15033c,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,NO_NEW_BASE_MODEL_BUT_DERIVED_OUTPUT_OVERLAY,MEDIUM; LEVEL1_TENS_OF_MINUTES_TO_HOURS,YES,TIER_1_EXPLORE_NOW,5/5,MEDIUM; LEVEL1_TENS_OF_MINUTES_TO_HOURS,EXECUTED_NOT_ADVANCED
H02,Complementary-error graph across strategies,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__optimized_ensemble__e05e0fde22d7,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,NO_NEW_BASE_MODEL_BUT_DERIVED_OUTPUT_OVERLAY,MEDIUM; 1_TO_3_CPU_HOURS,YES,TIER_1_EXPLORE_NOW,5/5,MEDIUM; 1_TO_3_CPU_HOURS,NOT_EXECUTED
H03,Mixture-of-experts with out-of-fold gating,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__advanced_methods_benchmark__87ee0d15033c,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,5/5,READY_FOR_HISTORICAL_EXPERIMENT,REQUIRES_NEW_MODEL_OUTPUT,YES,MEDIUM; 2_TO_6_HOURS,YES,TIER_1_EXPLORE_NOW,3/5,MEDIUM; 2_TO_6_HOURS,NOT_EXECUTED
H04,"50/300/750 slope, acceleration and disagreement signal",INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__auto_optimizer_alpha__7eaa9572e384,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_DERIVED_FEATURES,NO_NEW_BASE_MODEL_BUT_DERIVED_OUTPUT_OVERLAY,LOW_TO_MEDIUM,YES,TIER_1_EXPLORE_NOW,4/5,LOW_TO_MEDIUM,EXECUTED_NOT_ADVANCED
H05,Conditional consensus by regime/state,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__predict_consensus_ensemble__3ceb975a355c,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_SMALL_ENGINEERING,NO_NEW_BASE_MODEL_BUT_DERIVED_OUTPUT_OVERLAY,LOW; 30_TO_90_MINUTES,YES,TIER_2_EXPLORE_AFTER,3/5,LOW; 30_TO_90_MINUTES,NOT_EXECUTED
H06,Conditional anti-consensus / minority signal,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__anti_consensus_strategy__a454ddd26cef,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_SMALL_ENGINEERING,NO_NEW_BASE_MODEL_BUT_DERIVED_OUTPUT_OVERLAY,LOW; 30_TO_90_MINUTES,YES,TIER_2_EXPLORE_AFTER,3/5,LOW; 30_TO_90_MINUTES,NOT_EXECUTED
H07,Calibrated per-number probability model,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__xgboost_model__38c72a70c627,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,4/5,PARTIAL_HISTORICAL_INPUT_PATH,REQUIRES_NEW_MODEL_OUTPUT,YES,MEDIUM_TO_HIGH,YES,TIER_1_EXPLORE_NOW,5/5,MEDIUM_TO_HIGH,NOT_EXECUTED
H08,Per-number ranking-loss model,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__xgboost_model__38c72a70c627,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,3/5,PARTIAL_HISTORICAL_INPUT_PATH,REQUIRES_NEW_MODEL_OUTPUT,YES,MEDIUM; 1_TO_3_HOURS,YES,TIER_2_EXPLORE_AFTER,5/5,MEDIUM; 1_TO_3_HOURS,NOT_EXECUTED
H09,Predictive uncertainty / ensemble dispersion,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__optimized_ensemble__e05e0fde22d7,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,4/5,PARTIAL_HISTORICAL_INPUT_PATH,REQUIRES_NEW_MODEL_OUTPUT,YES,MEDIUM; 1_TO_3_HOURS_AFTER_COMPARABLE_OUTPUTS_EXIST,YES,TIER_2_EXPLORE_AFTER,5/5,MEDIUM; 1_TO_3_HOURS_AFTER_COMPARABLE_OUTPUTS_EXIST,NOT_EXECUTED
H10,Direct ticket-level scorer with pair/triple residual terms,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__backtest_apriori__2abb53765703,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,5/5,READY_FOR_HISTORICAL_EXPERIMENT,REQUIRES_NEW_MODEL_OUTPUT,YES,MEDIUM_BOUNDED_TO_HIGH_IF_INTERACTIONS_PROLIFERATE,YES,TIER_1_EXPLORE_NOW,5/5,MEDIUM_BOUNDED_TO_HIGH_IF_INTERACTIONS_PROLIFERATE,NOT_EXECUTED
