rank,hypothesis_id,title,classification,frontier_tier,novelty,orthogonality,mechanistic_clarity,historical_testability,data_readiness,compute_feasibility,forward_path,potential_information_gain,external_evidence_quality,leakage_risk_reverse,discovery_priority,priority_reason,local_validation_status
"1","EH01","MATRIX_PROFILE_MOTIF_DISCORD_REGIME_ALLOCATOR","GENUINELY_NEW_HYPOTHESIS","TIER_A","5","5","5","5","5","5","4","5","5","5","4.9","High novelty; cheap deterministic transform; direct analogue-support falsification","NOT_RUN"
"2","EH04","CONTEXT_TREE_WEIGHTED_SYMBOLIC_RESIDUAL_FORECASTER","GENUINELY_NEW_HYPOTHESIS","TIER_A","5","5","5","5","5","5","4","5","5","5","4.9","Variable-memory universal coding has a strong cheap Markov control","NOT_RUN"
"3","EH05","DENSITY_RATIO_IMPORTANCE_WEIGHTED_RECALIBRATION","GENUINELY_NEW_HYPOTHESIS","TIER_B","5","4","5","5","5","5","5","5","5","4","4.8","Directly tests covariate-shift adaptation with ESS safety","NOT_RUN"
"4","EH11","MMD_JOINT_DISTRIBUTION_SHIFT_ALLOCATOR","EXTENSION_OF_EXISTING","TIER_A","4","4","5","5","5","5","5","4","5","5","4.7","Well-defined multivariate shift test with a fixed action","NOT_RUN"
"5","EH15","CHANGEPOINT_TRIGGERED_META_SELECTION","COMBINATION_OF_EXISTING","TIER_C","4","4","5","5","5","5","5","5","4","5","4.7","Clear combination with a minimal one-detector one-action test","NOT_RUN"
"6","EH16","CALIBRATED_PROBABILITY_DPP_PORTFOLIO","COMBINATION_OF_EXISTING","TIER_C","4","4","5","5","5","4","5","5","5","5","4.7","Directly joins quality and diversity under causal calibration","NOT_RUN"
"7","EH18","E_PROCESS_ANYTIME_VALID_PROMOTION_ABSTENTION_GATE","EXTENSION_OF_EXISTING","TIER_A","3","5","5","5","5","5","5","4","5","5","4.7","Cheap and rigorous research-governance extension; indirect predictive value","NOT_RUN"
"8","EH10","PERMUTATION_ENTROPY_ORDINAL_STATE_GATE","EXTENSION_OF_EXISTING","TIER_A","4","4","5","5","5","5","4","4","5","5","4.6","Very cheap falsification of a precise H20 extension","NOT_RUN"
"9","EH13","CONFORMAL_SET_SIZE_COVERAGE_ABSTENTION","COMBINATION_OF_EXISTING","TIER_C","4","4","5","5","5","4","5","4","5","5","4.6","Makes uncertainty actionable through a predeclared reject rule","NOT_RUN"
"10","EH03","RECURRENCE_QUANTIFICATION_STATE_GATE","GENUINELY_NEW_HYPOTHESIS","TIER_B","5","5","4","4","4","5","4","5","4","5","4.5","Orthogonal state geometry with moderate derived-feature cost","NOT_RUN"
"11","EH12","WASSERSTEIN_WINDOW_SHIFT_ALLOCATOR","EXTENSION_OF_EXISTING","TIER_A","4","4","5","5","5","5","4","4","4","5","4.5","Geometry-aware shift is cheap enough for an early comparison","NOT_RUN"
"12","EH02","TRANSFER_ENTROPY_DIRECTED_LAG_GRAPH","GENUINELY_NEW_HYPOTHESIS","TIER_B","5","5","4","4","4","4","4","5","5","4","4.4","Tests directed conditional dependence absent from co-occurrence methods","NOT_RUN"
"13","EH09","STRATEGY_DRAW_METRIC_TENSOR_FACTOR_RESIDUAL_GATE","GENUINELY_NEW_HYPOTHESIS","TIER_B","5","5","4","4","4","4","4","5","5","4","4.4","Multiway residual interactions could expose structure flat stacking cannot","NOT_RUN"
"14","EH14","CONTEXT_CONDITIONED_MMD_DRIFT_GATE","COMBINATION_OF_EXISTING","TIER_B","4","4","5","4","4","4","4","5","5","4","4.3","Targets conditional heterogeneity with explicit multiplicity guards","NOT_RUN"
"15","EH27","SPARSE_SUBSET_SCAN_CONDITIONAL_EDGE_GATE","GENUINELY_NEW_HYPOTHESIS","TIER_B","5","5","4","4","4","4","4","5","4","4","4.3","Direct test for sparse conditional effects masked by a global null","NOT_RUN"
"16","EH07","NVAR_RESERVOIR_CAUSAL_RESIDUAL_META_FEATURE","GENUINELY_NEW_HYPOTHESIS","TIER_E","5","5","4","3","4","3","4","5","5","4","4.2","Low-capacity nonlinear dynamics is distinct but adds model-selection burden","NOT_RUN"
"17","EH17","STATE_SPACE_POSTERIOR_MULTIWINDOW_DISAGREEMENT","COMBINATION_OF_EXISTING","TIER_C","4","4","5","4","4","4","4","4","5","4","4.2","Plausible conditional gate but more moving parts than higher-ranked tests","NOT_RUN"
"18","EH06","HAWKES_EXCITATION_INHIBITION_RESIDUAL_SCORER","GENUINELY_NEW_HYPOTHESIS","TIER_E","5","5","4","3","4","3","3","5","5","3","4.0","Highly orthogonal event-history mechanism but specification and stability risk are material","NOT_RUN"
"19","EH26","STATIONARY_VINE_COPULA_RESIDUAL_DEPENDENCE","GENUINELY_NEW_HYPOTHESIS","TIER_E","5","5","4","3","4","3","3","5","5","3","4.0","Orthogonal joint-tail model with structure-selection risk","NOT_RUN"
"20","EH25","TS2VEC_CAUSAL_RESIDUAL_EMBEDDING","GENUINELY_NEW_HYPOTHESIS","TIER_D","5","5","4","3","3","2","4","5","5","3","3.9","Strong representation novelty but highest runtime and leakage burden","NOT_RUN"
"21","EH08","PERSISTENT_HOMOLOGY_ROLLING_STRUCTURE_GATE","GENUINELY_NEW_HYPOTHESIS","TIER_E","5","5","4","2","3","2","3","5","4","3","3.6","Maximum orthogonality; relatively costly and easy to overfit","NOT_RUN"
