hypothesis_id,hypothesis_name,required_data_field,availability,authority_or_derivation,coverage_scope,proxy_warning,track_b_action
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,strategy_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 identity ledger + pinned strategy catalog,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,draw_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 target_draw_id,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,target_cutoff,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 historical_input_cutoff plus draw_index chronology,133/133 historical identities or causally derivable per eligible draw,,"For the 2,831 recovered rows with incomparable local numeric draw IDs, enforce cutoff_date < target_draw_date or chronological index; do not compare numeric IDs."
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,native_tickets,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 predicted_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,native_ticket_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 positional ticket rows per strategy/draw,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,main_hit_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified main_hit_count,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,special_hit,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified special_hit,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,actual_main_numbers,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,actual_special_number,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_special_number,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,window,AVAILABLE_AUTHORITATIVE,Hit Depth Projection R1 FULL/LONG_750/MID_300/SHORT_50,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,eligible_draws,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 coverage + Hit Depth stable denominators,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,exact_baseline,AVAILABLE_AUTHORITATIVE,Hit Depth and combination authorities use exact native-multiplicity baselines,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,historical_delta,AVAILABLE_AUTHORITATIVE,Hit Depth/robustness/combination result cells; new objectives derivable causally,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,family,AVAILABLE_AUTHORITATIVE,Pinned 2db4da27 strategy catalog method_family,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,candidate_k,NOT_REQUIRED,Strategy-K authority: 7 direct within 51 historical/current overlap; not 133-wide,7/51 direct historical/current overlap; 44 portfolio aggregation undefined; 82 raw-only outside runtime overlap,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,candidate_ranking,NOT_REQUIRED,"Combination A/C are portfolio/frequency proxies, not source-internal rank",Proxy authorities only; never label as STRATEGY_INTERNAL_RANKING,,Use only explicitly named behavioral proxy or generate a new causal rank; never relabel proxy as internal rank.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,strategy_internal_score,NOT_REQUIRED,Not retained across the 133 raw histories,0/133 common authoritative field,,"Engineer a new, versioned model output if required; historical ticket rows do not identify it."
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,number_level_probabilities,NOT_REQUIRED,Not retained as calibrated model outputs; tickets cannot recover them,0/133 common calibrated-probability field,,Generate new pre-target probabilities and calibrate out of sample; never normalize arbitrary historical scores.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,portfolio_overlap,AVAILABLE_DERIVABLE,Derivable exactly from native ticket sets before target result,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,strategy_runtime_availability,PARTIAL_COVERAGE,51/133 historical identities currently executable; 82 raw-only,51/133,PARTIAL_MEANS_PREFLIGHT_REQUIRED,Discovery may use sealed raw outcomes; forward work requires a separate adapter preflight.
H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,forward_adapter,PARTIAL_COVERAGE,Candidate Freeze/R4: 40 frozen; 3 forward-generatable; 37 unavailable,3/40 frozen candidates forward-generatable; not a 133-wide property,PARTIAL_MEANS_PREFLIGHT_REQUIRED,"Treat forward execution as a later engineering/authorization gate, not as historical evidence."
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,strategy_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 identity ledger + pinned strategy catalog,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,draw_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 target_draw_id,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,target_cutoff,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 historical_input_cutoff plus draw_index chronology,133/133 historical identities or causally derivable per eligible draw,,"For the 2,831 recovered rows with incomparable local numeric draw IDs, enforce cutoff_date < target_draw_date or chronological index; do not compare numeric IDs."
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,native_tickets,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 predicted_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,native_ticket_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 positional ticket rows per strategy/draw,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,main_hit_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified main_hit_count,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,special_hit,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified special_hit,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,actual_main_numbers,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,actual_special_number,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_special_number,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,window,AVAILABLE_AUTHORITATIVE,Hit Depth Projection R1 FULL/LONG_750/MID_300/SHORT_50,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,eligible_draws,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 coverage + Hit Depth stable denominators,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,exact_baseline,AVAILABLE_AUTHORITATIVE,Hit Depth and combination authorities use exact native-multiplicity baselines,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,historical_delta,AVAILABLE_AUTHORITATIVE,Hit Depth/robustness/combination result cells; new objectives derivable causally,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,family,AVAILABLE_AUTHORITATIVE,Pinned 2db4da27 strategy catalog method_family,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,candidate_k,NOT_REQUIRED,Strategy-K authority: 7 direct within 51 historical/current overlap; not 133-wide,7/51 direct historical/current overlap; 44 portfolio aggregation undefined; 82 raw-only outside runtime overlap,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,candidate_ranking,NOT_REQUIRED,"Combination A/C are portfolio/frequency proxies, not source-internal rank",Proxy authorities only; never label as STRATEGY_INTERNAL_RANKING,,Use only explicitly named behavioral proxy or generate a new causal rank; never relabel proxy as internal rank.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,strategy_internal_score,NOT_REQUIRED,Not retained across the 133 raw histories,0/133 common authoritative field,,"Engineer a new, versioned model output if required; historical ticket rows do not identify it."
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,number_level_probabilities,AVAILABLE_DERIVABLE,"Causal trailing 49-number frequency vectors are derivable, but they are features—not calibrated probabilities.",0/133 common calibrated-probability field,,Generate new pre-target probabilities and calibrate out of sample; never normalize arbitrary historical scores.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,portfolio_overlap,AVAILABLE_DERIVABLE,Derivable exactly from native ticket sets before target result,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,strategy_runtime_availability,UNAVAILABLE,The new hypothesis has no pinned runtime implementation; sealed historical inputs still support offline specification/test construction.,51/133,,Discovery may use sealed raw outcomes; forward work requires a separate adapter preflight.
H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,forward_adapter,UNAVAILABLE,No forward adapter for the new hypothesis exists at the pinned authority; engineering is a later Track B gate.,3/40 frozen candidates forward-generatable; not a 133-wide property,,"Treat forward execution as a later engineering/authorization gate, not as historical evidence."
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,strategy_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 identity ledger + pinned strategy catalog,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,draw_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 target_draw_id,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,target_cutoff,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 historical_input_cutoff plus draw_index chronology,133/133 historical identities or causally derivable per eligible draw,,"For the 2,831 recovered rows with incomparable local numeric draw IDs, enforce cutoff_date < target_draw_date or chronological index; do not compare numeric IDs."
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,native_tickets,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 predicted_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,native_ticket_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 positional ticket rows per strategy/draw,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,main_hit_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified main_hit_count,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,special_hit,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified special_hit,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,actual_main_numbers,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,actual_special_number,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_special_number,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,window,AVAILABLE_AUTHORITATIVE,Hit Depth Projection R1 FULL/LONG_750/MID_300/SHORT_50,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,eligible_draws,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 coverage + Hit Depth stable denominators,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,exact_baseline,AVAILABLE_AUTHORITATIVE,Hit Depth and combination authorities use exact native-multiplicity baselines,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
