hypothesis_id,canonical_title,required_data_field,requirement,availability,authority_or_derivation,coverage_scope,proxy_warning,level_1_effect
H02,Complementary-error graph across strategies,strategy_id,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,family,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,draw_id,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,target_cutoff,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,native_tickets,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,native_ticket_count,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,hit_depth,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,special_hit,NOT_REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,NON_BLOCKING
H02,Complementary-error graph across strategies,exact_baseline,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,historical_delta,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,window_metrics,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,candidate_k,NOT_REQUIRED,PARTIAL_COVERAGE,Candidate-K direct matrix plus current-catalog capability map,7 direct matrix paths; 44 current portfolio identities lack canonical number aggregation; 82 are historical-only,"Candidate-K is not native ticket count, configuration count or internal rank.",NON_BLOCKING
H02,Complementary-error graph across strategies,internal_rank,NOT_REQUIRED,AVAILABLE_PROXY_ONLY,A CURRENT_PORTFOLIO_VOTE_PROXY and C TRAILING_WINDOW_FREQUENCY_PROXY,Proxy layers only; no canonical internal rank for the 133,A/C proxies must not be relabeled as strategy-internal ranking.,NON_BLOCKING
H02,Complementary-error graph across strategies,number_level_score,NOT_REQUIRED,PARTIAL_COVERAGE,Seven direct Candidate-K paths or separately specified causal exposure reconstruction,Direct for 7; reconstruction needed elsewhere; 44 current portfolios have no canonical aggregation contract,Ticket position or exposure frequency is not automatically a number-level score.,NON_BLOCKING
H02,Complementary-error graph across strategies,probability_output,NOT_REQUIRED,UNAVAILABLE,No canonical calibrated probability-output authority was recovered,0/133 canonical calibrated probability vectors,"Scores, ranks and ticket inclusion frequencies are not calibrated probabilities.",NON_BLOCKING
H02,Complementary-error graph across strategies,portfolio_overlap,REQUIRED,AVAILABLE_DERIVABLE,Preserved native tickets plus exact portfolio-geometry authority,133/133 where tickets exist; derive strictly before target outcome,Geometry can remove a structural handicap but is not predictive evidence by itself.,REQUIRES_BOUNDED_DERIVATION
H02,Complementary-error graph across strategies,runtime_executable,OPTIONAL,PARTIAL_COVERAGE,Current executable overlap map,51/133 historical identities; exact per-family join remains unknown,Population-level 51/82 split cannot certify a specific adapter.,NON_BLOCKING
H02,Complementary-error graph across strategies,forward_adapter,OPTIONAL,PARTIAL_COVERAGE,Current 51-identity executable overlap,Small overlay/adapter required and exact producer join must be verified,Do not use unavailable Cohort V1 candidates as if executable.,NON_BLOCKING
H02,Complementary-error graph across strategies,regime_descriptors,NOT_REQUIRED,PARTIAL_COVERAGE,Official causal regime analysis with four frozen axes,20 causal candidates across fixed axes/bands; not a per-133 complete join,Exploratory regime cells are multiplicity-exposed and not deployment proof.,NON_BLOCKING
H02,Complementary-error graph across strategies,pair_structure,NOT_REQUIRED,AVAILABLE_AUTHORITATIVE,Combination Projection R1 and causal pair/triple histories,"392,084 historical combinations at the sealed boundary",A/C projection scores are proxies; residual interaction must be learned only out of fold.,NON_BLOCKING
H02,Complementary-error graph across strategies,triplet_structure,NOT_REQUIRED,AVAILABLE_AUTHORITATIVE,Combination Projection R1 and causal pair/triple histories,"392,084 historical combinations at the sealed boundary",A/C projection scores are proxies; residual interaction must be learned only out of fold.,NON_BLOCKING
H02,Complementary-error graph across strategies,temporal_transitions,NOT_REQUIRED,AVAILABLE_DERIVABLE,Strictly ordered draw history and FULL/750/300/50 windows,Causal expanding-window derivation available,Retrospective breakpoint or state placement would leak future information.,NON_BLOCKING
H02,Complementary-error graph across strategies,actual_main_numbers,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H02,Complementary-error graph across strategies,actual_special_number,NOT_REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,NON_BLOCKING
H02,Complementary-error graph across strategies,eligible_draws,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H03,Mixture-of-experts with out-of-fold gating,strategy_id,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
H03,Mixture-of-experts with out-of-fold gating,family,REQUIRED,AVAILABLE_AUTHORITATIVE,Sealed Raw Foundation R2 / Hit Depth / exact-baseline authorities,133/133 identities; fixed eligible draw and ticket semantics,,READY
