source_id,source_type,title,authors_or_owner,year,url,access_date,method_family,claimed_goal,actual_method,evaluation_method,baseline,temporal_split,reported_result,reproducibility_status,code_available,data_available,external_claim_status,local_validation_status,source_quality_note,hypothesis_ids
S01,PRIMARY_REPOSITORY,"STUMPY","stumpy-dev",YEAR_NOT_ASSERTED,"https://github.com/stumpy-dev/stumpy",2026-08-13,"sequential; anomaly; nonlinear dynamics","Scalable time-series data mining","Matrix-profile motifs; discords; segmentation","Repository examples and tests","Method-specific baselines",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation; method scope only",EH01
S02,PRIMARY_TECHNICAL_SOURCE,"Matrix Profile I: All Pairs Similarity Joins for Time Series","Yeh et al.",2016,"https://mcyeh.github.io/paper/2016_icdm_all_pairs_similarity.pdf",2026-08-13,"sequential; anomaly; nonlinear dynamics","Motif and discord discovery","Exact subsequence similarity profile","Published experiments","Published baselines",SOURCE_DEPENDENT,"Published performance not adopted","PAPER_WITH_ALGORITHMS",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary paper",EH01
S03,PRIMARY_REPOSITORY,"Java Information Dynamics Toolkit","jlizier/JIDT",YEAR_NOT_ASSERTED,"https://github.com/jlizier/jidt",2026-08-13,"information theory; higher-order dependence","Information-theoretic dependence estimation","Mutual information; conditional mutual information; transfer entropy","Repository demos and tests","Estimator-specific baselines",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation",EH02
S04,PRIMARY_TECHNICAL_SOURCE,"Measuring Information Transfer","Thomas Schreiber",2000,"https://arxiv.org/abs/nlin/0001042",2026-08-13,"information theory; higher-order dependence","Directional information transfer","Transfer entropy conditioned on source and destination histories","Published simulations","Mutual-information-style comparisons",SOURCE_DEPENDENT,"Published performance not adopted","PAPER_WITH_DEFINITION",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Foundational primary paper",EH02
S05,PRIMARY_REPOSITORY,"River","online-ml/River",YEAR_NOT_ASSERTED,"https://github.com/online-ml/river",2026-08-13,"online learning; change detection","Streaming machine learning","Incremental estimators; metrics; drift detectors","Repository tests and examples","Method-specific baselines",PREQUENTIAL,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation",EH05;EH11;EH12;EH15
S06,PRIMARY_TECHNICAL_SOURCE,"River ADWIN documentation","River maintainers",YEAR_NOT_ASSERTED,"https://riverml.xyz/latest/api/drift/ADWIN/",2026-08-13,"change detection; sequential","Adaptive drift detection","Variable-length windows with cut tests","Documented examples","No local baseline",ONLINE_CAUSAL,"No efficacy result adopted","OFFICIAL_DOCUMENTATION",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Official technical documentation",EH15
S07,PRIMARY_TECHNICAL_SOURCE,"River Page-Hinkley documentation","River maintainers",YEAR_NOT_ASSERTED,"https://riverml.xyz/latest/api/drift/PageHinkley/",2026-08-13,"change detection; sequential","Mean-shift detection","Cumulative deviation detector","Documented examples","No local baseline",ONLINE_CAUSAL,"No efficacy result adopted","OFFICIAL_DOCUMENTATION",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Official technical documentation",EH15
S08,PRIMARY_REPOSITORY,"Bayesian changepoint detection","hildensia",YEAR_NOT_ASSERTED,"https://github.com/hildensia/bayesian_changepoint_detection",2026-08-13,"Bayesian; change detection","Offline and online changepoint detection","Bayesian run-length inference","Repository examples","Method-specific examples",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation; BOCPD maps to an existing hypothesis",EH19
S09,PRIMARY_TECHNICAL_SOURCE,"Bayesian Online Changepoint Detection","Ryan Prescott Adams; David J. C. MacKay",2007,"https://arxiv.org/abs/0710.3742",2026-08-13,"Bayesian; change detection","Online changepoint inference","Posterior run-length recursion","Published experiments","Published baselines",ONLINE_CAUSAL,"Published performance not adopted","PAPER_WITH_ALGORITHMS",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary paper; subcase of H19",EH19
S10,PRIMARY_REPOSITORY,"Alibi Detect","SeldonIO",YEAR_NOT_ASSERTED,"https://github.com/SeldonIO/alibi-detect",2026-08-13,"anomaly; distribution shift","Outlier and drift detection","Online and offline drift detectors including kernel tests","Repository tests and examples","Detector-specific baselines",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation",EH11;EH14
