hypothesis_id,canonical_title,original_priority,original_status,reason_not_top10
H02,Complementary-error graph across strategies,TIER_1_EXPLORE_NOW,NOT_TESTED,"[Inferred] H01 was preferred because its fixed residual gate is the more direct first test; H02 adds a community/cover layer and is retained as a distinct follow-on."
H03,Mixture-of-experts with out-of-fold gating,TIER_1_EXPLORE_NOW,FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,"[Inferred] H01 covers the nearer residual-gated allocation question with a more concrete rank-free contract; H03 remains a broader learned-gating alternative."
H05,Conditional consensus by regime/state,TIER_2_EXPLORE_AFTER,FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,"[Inferred] It is less orthogonal to the historically tested static-consensus family than the selected Top-10 directions and requires a frozen conditioning layer."
H06,Conditional anti-consensus / minority signal,TIER_2_EXPLORE_AFTER,FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,"[Inferred] It is a narrower conditional extension of tested anti-consensus and depends on prior-only disagreement/error features, so it ranked behind more independent signals."
H08,Per-number ranking-loss model,TIER_2_EXPLORE_AFTER,NOT_TESTED,"[Inferred] H07's calibrated per-number probability contract was selected first; H08 shares the missing number-level matrix but adds a ranking-loss layer and therefore lower immediate readiness."
H09,Predictive uncertainty / ensemble dispersion,TIER_2_EXPLORE_AFTER,NOT_TESTED,"[Inferred] It needs comparable model outputs plus leakage-safe calibration and was less ready than the selected residual/meta-selection hypotheses."
H11,Pair/triple interaction residual after marginal number scores,TIER_2_EXPLORE_AFTER,FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,"[Inferred] H10 was selected as the broader direct ticket-level residual scorer; H11 is the interaction-specific decomposition that follows a stable marginal score."
H13,Temporal graph change rather than static graph score,TIER_2_EXPLORE_AFTER,FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,"[Inferred] H12's temporal hypergraph residual and H19's change-point gate were chosen as more differentiated temporal-structure tests; H13 remains distinct."
H15,Multi-objective hit-depth / coverage / overlap / payout-proxy optimizer,TIER_2_EXPLORE_AFTER,PARTIALLY_TESTED,"[Inferred] Its ingredients were separately available but the combined objective has high endpoint/multiplicity design burden and less novelty than H14's explicit objective."
H16,Joint main-number/special-number conditional model,TIER_3_LONG_SHOT,NOT_TESTED,"[Inferred] The legal joint full-ticket predictive contract is missing and this is a higher-cost long shot, despite high information-source orthogonality."
H18,HMM latent-regime gating,TIER_2_EXPLORE_AFTER,NOT_TESTED,"[Inferred] It requires a new deterministic latent-state model and overlaps the selected H17 state-space and H19 regime-change directions while remaining a distinct gate."
H20,Entropy/distribution-shift anomaly gating,TIER_2_EXPLORE_AFTER,FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,"[Inferred] H19's explicit sequential change-point contract was selected as the cleaner causal alarm test; H20 remains the distribution-shift/anomaly alternative."
H22,Conditional/nested exact null and paired counterfactual calibration,TIER_2_EXPLORE_AFTER,PARTIALLY_TESTED,"[Inferred] It is enabling inferential infrastructure whose exact output depends on an upstream predictive hypothesis, rather than a standalone producer for the first queue."
H23,"LSTM as residual/meta-feature, not direct ticket generator",TIER_3_LONG_SHOT,NOT_TESTED,"[Inferred] Deterministic seeded training and leakage-safe out-of-fold embeddings are not yet available; it is preserved as a high-cost residual-model long shot."
H24,Transformer as residual/meta-feature,TIER_3_LONG_SHOT,NOT_TESTED,"[Inferred] A deterministic causal sequence encoder and out-of-fold outputs are new requirements; attention replay is not parity, so the idea remains open but low-readiness."
H25,XGBoost stacking strategy outputs and history,TIER_2_EXPLORE_AFTER,FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,"[Inferred] It overlaps H01's meta-selection layer and the tested direct XGBoost family; the residual-stacking target is distinct but less orthogonal."
H26,Special-aware portfolio geometry,TIER_3_LONG_SHOT,NOT_TESTED,"[Inferred] It depends on a missing legal special-aware joint baseline/producer contract and ranks as a long shot despite combining two separately available evidence layers."
H28,Prospective confirmation of frozen EWMA drift H1/H2,TIER_1_EXPLORE_NOW,PARTIALLY_TESTED,"[Inferred] The historical H1/H2 contract has already been examined and true post-freeze calendar evidence is still zero, so it is time-gated rather than displaced or closed."
