capability_id,capability_name,current_status,authority,source_path_or_artifact,coverage_count,semantic_limitation,implementation_scope,likely_modules_or_surfaces,new_schema_needed,new_adapter_needed,new_historical_replay_needed,new_training_pipeline_needed,observer_changes_needed,db_schema_changes_needed,persistence_class,reusability_0_5
C01,NATIVE_TICKET_FORWARD_GENERATION,AVAILABLE_CANONICAL,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/catalog.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=099f2a8c9ccbacc8306b2397c560bef413b24217;src/lottolab/strategies/adapters/base.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=a4e5571491c7358d8624acb8fe53f99c3bba9611,51/51 loadable current catalog paths; successful output not guaranteed for every target,Public output is main-number ticket(s) only. quick_ml is normally unusable and multiple portfolios retain source-faithful closure surfaces.,XS,future research feature/output module; versioned adapter; observer routing,NO,NO,NO,NO,NO,NO,RUNTIME_ONLY_CAPABILITY,5
C02,STRATEGY_LEVEL_SCORE_OUTPUT,AVAILABLE_HISTORICAL_ONLY,verified Track D sealed evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,51/51 have historical outcome metrics; 0/51 expose a canonical runtime strategy score,Trailing outcome-derived performance is not a producer-native comparable score.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C03,NUMBER_LEVEL_SCORE_OUTPUT,AVAILABLE_PROXY_ONLY,sealed Candidate-K authority,/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_STRATEGY_K_HISTORICAL_MATRIX_AUTHORITY_R1/strategy_universe.json,7/51 direct historical Candidate-K ordered paths; 0/51 canonical runtime score vectors,Candidate order/exposure is not a typed score; 44 portfolios lack canonical number aggregation.,L,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C04,CALIBRATED_NUMBER_PROBABILITY_OUTPUT,MISSING_LARGE,verified Track D gap evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,0/51 canonical calibrated probability vectors,"Scores, ranks, ticket inclusion, and exposure frequency cannot be relabeled as probability.",XL,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,YES,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C05,TICKET_LEVEL_SCORE_OUTPUT,AVAILABLE_PROXY_ONLY,verified Track D and sealed combination evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,historical A/C and portfolio utility proxies only; 0/51 canonical runtime ticket scores,Proxy ranking/utility is objective-specific and not calibrated probability or comparable model score.,L,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,OPTIONAL,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C06,STRATEGY_INTERNAL_RANK_OUTPUT,AVAILABLE_PROXY_ONLY,verified Track D and sealed R4 evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md;/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_COMBINATION_PROSPECTIVE_FORWARD_OBSERVER_R4/observer_contract.json,0/51 canonical internal rank; A/C and R4 exposure orders are proxies,Ticket order and exposure order must never be inferred as strategy-internal rank.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,2
C07,TRAILING_HISTORICAL_PERFORMANCE_STATE,AVAILABLE_DERIVABLE,verified sealed historical evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,51/51 historical overlap; no generic live state service,Must be strictly lagged and objective/baseline/version specific.,S,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C08,MULTI_WINDOW_STATE,AVAILABLE_DERIVABLE,verified sealed historical evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md;/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_STRATEGY_K_HISTORICAL_MATRIX_AUTHORITY_R1/strategy_k_summary.csv,FULL/750/300/50 historical views available; generic live producer absent,Existing window aggregates do not automatically provide per-target forward state or derivatives.,S,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C09,STRATEGY_FAMILY_STATE,AVAILABLE_CANONICAL,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/data/biglotto_full_strategy_catalog_v1.json@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=fe93150e002bd7217be54501fdc9d390f81f79db,51/51 have pinned method_family labels; 10 observed family labels,"Family taxonomy is catalog metadata, not predictive evidence.",XS,future research feature/output module; versioned adapter; observer routing,NO,NO,NO,NO,NO,NO,RUNTIME_ONLY_CAPABILITY;SEALED_RESEARCH_ARTIFACT,4
C10,CROSS_STRATEGY_RESIDUAL_STATE,AVAILABLE_DERIVABLE,verified sealed historical evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,51/51 historical outcomes can support lagged residuals; no generic forward engine,"Residual depends on a frozen baseline, objective, eligible population, and causal cutoff.",M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
