hypothesis_id,title,information_set,transformation,target,temporal_rule,selection_or_gating,source_ids,raw_idea_count,existing28_classification,closest_existing_hypotheses,survivor,frontier_tier,canonical_definition,novelty_basis,local_validation_status,external_claim_status
EH01,MATRIX_PROFILE_MOTIF_DISCORD_REGIME_ALLOCATOR,"Causal trailing vectors of draw summaries and frozen-strategy residuals","Matrix profile; motif; discord; FLUSS-style boundary scores","Next-draw strategy allocation and optional abstention","At t use only observations through t-1; refit thresholds inside each training fold","Select a fixed strategy family only when the current subsequence has a supported historical analogue; abstain on unsupported discords",S01;S02,2,GENUINELY_NEW_HYPOTHESIS,H19;H20,YES,TIER_A,"Use a causal matrix profile over predeclared trailing residual and draw-state vectors to identify motifs; discords; and boundaries; then map only previously observed analogue states to a frozen strategy choice or abstention","New subsequence-similarity transformation and analogue support rule",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH02,TRANSFER_ENTROPY_DIRECTED_LAG_GRAPH,"Lagged binary number indicators; draw summaries; and frozen-strategy residual streams","Conditional transfer entropy with surrogate-tested directed edges","Per-number residual scores or strategy-family selection","All embeddings; lags; estimators; and thresholds fit using training history only","Activate only edges stable across inner temporal folds; otherwise revert to baseline",S03;S04,2,GENUINELY_NEW_HYPOTHESIS,H11;H12;H13,YES,TIER_B,"Estimate a causal directed information-flow graph from lagged histories and use only stable conditional transfer-entropy edges as residual features","Directionality and conditioning are absent from co-occurrence and hypergraph hypotheses",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH03,RECURRENCE_QUANTIFICATION_STATE_GATE,"Causal rolling draw-state and residual feature vectors","Delay embedding; recurrence plot; recurrence rate; determinism; laminarity","Conditional strategy allocation or abstention","Embedding dimension; radius; and gate frozen inside training folds","Route to a fixed strategy only in recurrence states with training-fold support",S27,2,GENUINELY_NEW_HYPOTHESIS,H18;H20,YES,TIER_B,"Convert trailing state vectors into recurrence-quantification descriptors and use them as a causal regime gate for fixed strategies","Recurrence geometry is a new transformation rather than another scalar entropy statistic",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH04,CONTEXT_TREE_WEIGHTED_SYMBOLIC_RESIDUAL_FORECASTER,"Symbolized causal histories of number indicators; gaps; ranks; or residual signs","Context-tree weighting and code-length surprise","Per-number probability residual or strategy-family score","Bounded depth selected in inner walk-forward folds; prediction at t uses symbols through t-1","Use only when prequential code length improves against fixed-order Markov and uniform baselines",S28,2,GENUINELY_NEW_HYPOTHESIS,H07;H17,YES,TIER_A,"Apply bounded-depth context-tree weighting to symbolized histories and convert posterior predictive probabilities or excess code length into residual scores","Universal variable-memory compression is distinct from fixed-order Markov and generic state-space models",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH05,DENSITY_RATIO_IMPORTANCE_WEIGHTED_RECALIBRATION,"Recent and reference-window covariates plus frozen out-of-fold per-number predictions","Direct recent-to-reference density-ratio estimation with clipped weights","Recalibrated per-number probabilities and strategy ranking","At each origin estimate weights from covariates available before t; tune clipping in inner folds","Enable weighted recalibration only when effective sample size and balance diagnostics pass",S05;S30,2,GENUINELY_NEW_HYPOTHESIS,H07;H20,YES,TIER_B,"Estimate covariate-shift weights between recent and reference states and use clipped weights for causal probability recalibration; with ESS-based fallback","Importance-weighted adaptation is a new transformation and safety gate",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH06,HAWKES_EXCITATION_INHIBITION_RESIDUAL_SCORER,"Event times for each number and predeclared pair groups; optionally frozen-strategy error events","Regularized multivariate Hawkes intensity with positive and inhibitory effects","Next-draw per-number residual intensity or abstention","Fit only on events before the prediction origin; stability and branching constraints frozen in training","Use intensity residuals only when simulated-null and holdout diagnostics reject a memoryless event baseline",S18;S19,2,GENUINELY_NEW_HYPOTHESIS,H11;H12;H17,YES,TIER_E,"Treat number appearances or strategy errors as marked events and test whether regularized self/cross-excitation adds causal residual ranking information","Continuous-time event-history mechanism is absent from the 28",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH07,NVAR_RESERVOIR_CAUSAL_RESIDUAL_META_FEATURE,"Causal lag vectors of draw summaries; per-number states; and frozen-strategy residuals","Fixed random reservoir or polynomial nonlinear vector autoregression","Out-of-fold residual prediction and strategy allocation","Reservoir and regularization frozen within training folds; no bidirectional context","Admit only if a linear autoregressive control is beaten across prespecified horizons",S20;S21,2,GENUINELY_NEW_HYPOTHESIS,H17;H23;H25,YES,TIER_E,"Use a low-capacity causal reservoir or NVAR to generate nonlinear residual meta-features; then test them against linear and existing neural controls","New low-compute dynamical transformation; not merely another LSTM or Transformer",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH08,PERSISTENT_HOMOLOGY_ROLLING_STRUCTURE_GATE,"Delay embeddings or graph filtrations built from trailing draw/residual vectors","Persistent homology; persistence landscapes or summary norms","Regime gate; anomaly flag; or strategy allocation","Each filtration uses history through t-1; scales and featurization fixed in training folds","Activate only topological states with adequate historical support; otherwise abstain",S22;S23,2,GENUINELY_NEW_HYPOTHESIS,H12;H13;H20,YES,TIER_E,"Compute causal topological summaries of rolling state clouds or structural graphs and test whether they condition residual strategy performance","Topology of evolving state geometry is not represented in the existing hypotheses",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH09,STRATEGY_DRAW_METRIC_TENSOR_FACTOR_RESIDUAL_GATE,"Out-of-fold tensor indexed by strategy; draw window; and predeclared metric or number group","Regularized CP or Tucker factorization with rank selected inside training folds","Latent strategy-state compatibility and allocation","Construct factors only from past out-of-fold cells; update expanding-window","Select strategy families whose causal latent factors align with the current state; fallback on unstable ranks",S24;S25,2,GENUINELY_NEW_HYPOTHESIS,H03;H11;H12,YES,TIER_B,"Factor a strategy-by-time-by-metric residual tensor to expose low-rank interactions unavailable to flat stacking; use factors only for causal allocation","Joint multiway residual structure is a new representation",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH10,PERMUTATION_ENTROPY_ORDINAL_STATE_GATE,"Causal trailing sequences of draw summaries and residual statistics","Ordinal pattern encoding and permutation entropy","Regime gate; anomaly flag; or abstention","Window; order; and thresholds selected within training only","Route only when ordinal-complexity bins have supported conditional effects",S26;S40,2,EXTENSION_OF_EXISTING,H20,YES,TIER_A,"Replace or augment generic entropy-shift signals with permutation entropy on ordinal patterns and test conditional allocation","Specific ordinal-complexity transformation extends H20",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
