ranking_type,rank,hypothesis_id,hypothesis_name,novelty_score,orthogonality_score,historical_testability_score,reuse_of_existing_evidence_score,forward_path_score,compute_feasibility_score,potential_information_gain_score,leakage_risk_reverse_score,multiplicity_risk_reverse_score,engineering_cost_reverse_score,weighted_score,score_direction,rationale,prerequisite,gate
DISCOVERY_PRIORITY,1,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,5,5,5,5,4,4,5,2,2,4,4.5000,5=best; risk and cost dimensions are reverse-scored,Highest discovery value and fully testable from sealed rank-free strategy-ticket outcomes; forward subset is narrower.,"Freeze candidate experts, features, folds, and gate before target evaluation.",ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
DISCOVERY_PRIORITY,2,H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,4,4,5,5,5,5,4,3,3,5,4.3400,5=best; risk and cost dimensions are reverse-scored,Cheap causal derived features with clean incremental ablation and a viable forward path.,Freeze window definitions and incremental comparison against level-only frequency.,ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
DISCOVERY_PRIORITY,3,H07,CHANGE_POINT_TRIGGERED_ALLOCATION,4,5,5,5,4,4,4,3,3,4,4.2800,5=best; risk and cost dimensions are reverse-scored,Distinct event-triggered allocation hypothesis with reusable causal regime descriptors.,Fit change detector only inside training history and lock alarm response.,ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
DISCOVERY_PRIORITY,4,H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,4,5,3,5,2,5,5,5,5,3,4.2600,5=best; risk and cost dimensions are reverse-scored,"Core producer is already directly tested outside the 133; independent confirmation is sample-limited, not concept-limited.","Reserve genuinely untouched/prospective draws; the existing 1,957-draw test cannot confirm itself.",ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
DISCOVERY_PRIORITY,5,H09,CONDITIONAL_NEGATIVE_INFORMATION_SUPPRESSION,4,5,5,5,4,3,4,4,3,4,4.2600,5=best; risk and cost dimensions are reverse-scored,Preserves a genuinely open conditional-negative interaction despite many exclusion-family predecessors.,"Freeze positive selector independently, then conditionally suppress; include matched random suppression.",ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
DISCOVERY_PRIORITY,6,H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,5,5,5,5,3,2,5,3,2,2,4.2200,5=best; risk and cost dimensions are reverse-scored,"Orthogonal ticket-interaction target and strong reuse, with bounded-candidate engineering/compute cost.",Freeze bounded candidate-ticket generator before fitting/scoring.,ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
DISCOVERY_PRIORITY,7,H06,DPP_SUBMODULAR_PORTFOLIO_SELECTION,4,3,5,5,4,4,4,5,4,4,4.1600,5=best; risk and cost dimensions are reverse-scored,Directly tests portfolio construction fairness; removes overlap handicap without claiming predictive edge.,"Freeze identical candidate pool, ticket count, number pool, budget, and cutoff for every optimizer.",ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
DISCOVERY_PRIORITY,8,H04,CALIBRATED_PER_NUMBER_PROBABILITIES,5,5,4,3,3,3,5,3,3,2,4.0000,5=best; risk and cost dimensions are reverse-scored,"High-value calibration question, but historical raw tickets do not contain probabilities; new model output is required.",Create causal probability outputs and nested calibration; scores/ranks are insufficient.,ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
DISCOVERY_PRIORITY,9,H08,TEMPORAL_HYPERGRAPH_MOTIF_RESIDUALS,5,5,4,4,3,2,5,3,2,2,3.9800,5=best; risk and cost dimensions are reverse-scored,"Structurally novel higher-order temporal signal, but feature engineering and search multiplicity are material.",Specify motif vocabulary/time decay before testing targets.,ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
DISCOVERY_PRIORITY,10,H10,DYNAMIC_BAYESIAN_STATE_SPACE_MODELING,5,5,4,3,3,2,5,3,2,1,3.8200,5=best; risk and cost dimensions are reverse-scored,High novelty/information gain but highest modeling and engineering cost with weak immediate forward readiness.,"Specify state dimension, priors, inference, and nested tuning before evaluation.",ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
PROSPECTIVE_READINESS,1,H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,4,4,5,5,5,5,4,3,3,5,4.4900,5=best; risk and cost dimensions are reverse-scored,Cheap causal derived features with clean incremental ablation and a viable forward path.,Freeze window definitions and incremental comparison against level-only frequency.,ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
PROSPECTIVE_READINESS,2,H06,DPP_SUBMODULAR_PORTFOLIO_SELECTION,4,3,5,5,4,4,4,5,4,4,4.2900,5=best; risk and cost dimensions are reverse-scored,Directly tests portfolio construction fairness; removes overlap handicap without claiming predictive edge.,"Freeze identical candidate pool, ticket count, number pool, budget, and cutoff for every optimizer.",ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
PROSPECTIVE_READINESS,3,H07,CHANGE_POINT_TRIGGERED_ALLOCATION,4,5,5,5,4,4,4,3,3,4,4.1100,5=best; risk and cost dimensions are reverse-scored,Distinct event-triggered allocation hypothesis with reusable causal regime descriptors.,Fit change detector only inside training history and lock alarm response.,ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
PROSPECTIVE_READINESS,4,H09,CONDITIONAL_NEGATIVE_INFORMATION_SUPPRESSION,4,5,5,5,4,3,4,4,3,4,4.0800,5=best; risk and cost dimensions are reverse-scored,Preserves a genuinely open conditional-negative interaction despite many exclusion-family predecessors.,"Freeze positive selector independently, then conditionally suppress; include matched random suppression.",ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
PROSPECTIVE_READINESS,5,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,5,5,5,5,4,4,5,2,2,4,4.0300,5=best; risk and cost dimensions are reverse-scored,Highest discovery value and fully testable from sealed rank-free strategy-ticket outcomes; forward subset is narrower.,"Freeze candidate experts, features, folds, and gate before target evaluation.",ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
PROSPECTIVE_READINESS,6,H02,HORIZON_MINIMAX_DISAGREEMENT_CONFIRMATION,4,5,3,5,2,5,5,5,5,3,3.8700,5=best; risk and cost dimensions are reverse-scored,"Core producer is already directly tested outside the 133; independent confirmation is sample-limited, not concept-limited.","Reserve genuinely untouched/prospective draws; the existing 1,957-draw test cannot confirm itself.",ADVANCE_ONLY_AFTER_PREDECLARED_LEVEL_1_OR_LEVEL_2_CRITERIA;NO_PRODUCTION_PROMOTION
