wave_id,wave_label,wave_position,hypothesis_id,canonical_title,origin,discovery_priority_reference,inclusion_reason,execution_status,planning_only,execution_authorized,next_b_hypothesis_selected
WAVE_1,CHEAP_HIGH_INFORMATION,1,H05,Conditional consensus by regime/state,INTERNAL,TIER_2_EXPLORE_AFTER,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,2,H06,Conditional anti-consensus / minority signal,INTERNAL,TIER_2_EXPLORE_AFTER,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,3,H14,DPP/submodular portfolio selection under a calibrated score,INTERNAL,TIER_1_EXPLORE_NOW,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,4,H15,Multi-objective hit-depth / coverage / overlap / payout-proxy optimizer,INTERNAL,TIER_2_EXPLORE_AFTER,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,5,H20,Entropy/distribution-shift anomaly gating,INTERNAL,TIER_2_EXPLORE_AFTER,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,6,H27,Preregistered confirmation of horizon-minimax disagreement,INTERNAL,TIER_1_EXPLORE_NOW,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,7,H28,Prospective confirmation of frozen EWMA drift H1/H2,INTERNAL,TIER_1_EXPLORE_NOW,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,8,EH01,MATRIX_PROFILE_MOTIF_DISCORD_REGIME_ALLOCATOR,EXTERNAL_NEW,4.9,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,9,EH04,CONTEXT_TREE_WEIGHTED_SYMBOLIC_RESIDUAL_FORECASTER,EXTERNAL_NEW,4.9,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,10,EH10,PERMUTATION_ENTROPY_ORDINAL_STATE_GATE,EXTERNAL_EXTENSION,4.6,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,11,EH11,MMD_JOINT_DISTRIBUTION_SHIFT_ALLOCATOR,EXTERNAL_EXTENSION,4.7,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,12,EH12,WASSERSTEIN_WINDOW_SHIFT_ALLOCATOR,EXTERNAL_EXTENSION,4.5,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,13,EH15,CHANGEPOINT_TRIGGERED_META_SELECTION,EXTERNAL_COMBINATION,4.7,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_1,CHEAP_HIGH_INFORMATION,14,EH18,E_PROCESS_ANYTIME_VALID_PROMOTION_ABSTENTION_GATE,EXTERNAL_EXTENSION,4.7,LOWER_COMPUTE_OR_PACKET_PINNED_CHEAP_VISIBILITY_WITH_HIGH_INFORMATION_VALUE,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_2,HIGH_ORTHOGONALITY,1,H02,Complementary-error graph across strategies,INTERNAL,TIER_1_EXPLORE_NOW,HIGH_ORTHOGONALITY_WITH_DERIVABLE_OR_VALIDATION_FOCUSED_PATH,NOT_EXECUTED,YES,NO,NO
WAVE_2,HIGH_ORTHOGONALITY,2,H13,Temporal graph change rather than static graph score,INTERNAL,TIER_2_EXPLORE_AFTER,HIGH_ORTHOGONALITY_WITH_DERIVABLE_OR_VALIDATION_FOCUSED_PATH,NOT_EXECUTED,YES,NO,NO
WAVE_2,HIGH_ORTHOGONALITY,3,H22,Conditional/nested exact null and paired counterfactual calibration,INTERNAL,TIER_2_EXPLORE_AFTER,HIGH_ORTHOGONALITY_WITH_DERIVABLE_OR_VALIDATION_FOCUSED_PATH,NOT_EXECUTED,YES,NO,NO
WAVE_2,HIGH_ORTHOGONALITY,4,EH02,TRANSFER_ENTROPY_DIRECTED_LAG_GRAPH,EXTERNAL_NEW,4.4,HIGH_ORTHOGONALITY_WITH_DERIVABLE_OR_VALIDATION_FOCUSED_PATH,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_2,HIGH_ORTHOGONALITY,5,EH03,RECURRENCE_QUANTIFICATION_STATE_GATE,EXTERNAL_NEW,4.5,HIGH_ORTHOGONALITY_WITH_DERIVABLE_OR_VALIDATION_FOCUSED_PATH,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_2,HIGH_ORTHOGONALITY,6,EH09,STRATEGY_DRAW_METRIC_TENSOR_FACTOR_RESIDUAL_GATE,EXTERNAL_NEW,4.4,HIGH_ORTHOGONALITY_WITH_DERIVABLE_OR_VALIDATION_FOCUSED_PATH,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_2,HIGH_ORTHOGONALITY,7,EH14,CONTEXT_CONDITIONED_MMD_DRIFT_GATE,EXTERNAL_COMBINATION,4.3,HIGH_ORTHOGONALITY_WITH_DERIVABLE_OR_VALIDATION_FOCUSED_PATH,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_2,HIGH_ORTHOGONALITY,8,EH27,SPARSE_SUBSET_SCAN_CONDITIONAL_EDGE_GATE,EXTERNAL_NEW,4.3,HIGH_ORTHOGONALITY_WITH_DERIVABLE_OR_VALIDATION_FOCUSED_PATH,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,1,H03,Mixture-of-experts with out-of-fold gating,INTERNAL,TIER_1_EXPLORE_NOW,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,2,H07,Calibrated per-number probability model,INTERNAL,TIER_1_EXPLORE_NOW,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
