ranking_type,rank,hypothesis_id,canonical_title,primary_cluster,novelty,orthogonality,historical_testability,data_readiness,forward_path,compute_feasibility,potential_information_gain,weighted_score,score_direction,forward_readiness,frontier_class,selection_rationale,selection_constraint
ALL_REMAINING_RANKED,1,H02,Complementary-error graph across strategies,META_SELECTION,4,5,5,5,3,4,5,4.5500,5=best on every dimension,REQUIRES_SMALL_ADAPTER_WORK,HIGH_CONFIDENCE_NOT_TRIED,Uses the existing outcome matrix to test cross-strategy error geometry rather than another number heuristic.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,2,H20,Entropy/distribution-shift anomaly gating,TEMPORAL_STATE,4,4,5,5,5,5,4,4.5000,5=best on every dimension,FORWARD_READY_WITH_EXISTING_51,HIGH_CONFIDENCE_NOT_TRIED,Cheapest high-readiness temporal-state test with a clean permutation control.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,3,H11,Pair/triple interaction residual after marginal number scores,HIGHER_ORDER_STRUCTURE,4,5,5,4,3,3,5,4.3000,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,High-information residual test using sealed pair/triple evidence while controlling marginal effects.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,4,H13,Temporal graph change rather than static graph score,HIGHER_ORDER_STRUCTURE,4,4,5,5,4,4,4,4.3000,5=best on every dimension,REQUIRES_SMALL_ADAPTER_WORK,HIGH_CONFIDENCE_NOT_TRIED,"Causal graph deltas are ready to derive, but H20 gives a cheaper temporal-state probe for the diversified queue.",RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,5,H22,Conditional/nested exact null and paired counterfactual calibration,OTHER,3,5,5,5,1,4,5,4.2000,5=best on every dimension,HISTORICAL_ONLY_FOR_NOW,HIGH_CONFIDENCE_NOT_TRIED,"High validation value, but it is an inferential layer tied to another predictive hypothesis rather than a producer.",RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,6,H09,Predictive uncertainty / ensemble dispersion,META_SELECTION,4,5,4,3,3,4,5,4.1000,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,"Tests calibrated uncertainty, an information layer absent from static ensembles.",RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,7,H08,Per-number ranking-loss model,NUMBER_LEVEL_MODEL,4,5,3,3,3,4,5,3.9500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Opens a distinct number-ranking target; readiness is limited by incomplete canonical number-level paths.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,8,H03,Mixture-of-experts with out-of-fold gating,META_SELECTION,4,3,5,5,3,3,4,3.9000,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Broad learned gate is testable but intentionally follows the simpler H01 contract.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,9,H05,Conditional consensus by regime/state,META_SELECTION,3,3,5,5,4,5,3,3.9000,5=best on every dimension,FORWARD_READY_WITH_EXISTING_51,HIGH_CONFIDENCE_NOT_TRIED,"Cheap conditional extension, but close to static consensus and other gates.",RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,10,H06,Conditional anti-consensus / minority signal,META_SELECTION,3,3,5,5,4,5,3,3.9000,5=best on every dimension,FORWARD_READY_WITH_EXISTING_51,HIGH_CONFIDENCE_NOT_TRIED,Cheap minority-signal test with narrower upside and strong dependency on condition choice.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,11,H15,Multi-objective hit-depth / coverage / overlap / payout-proxy optimizer,PORTFOLIO_OPTIMIZATION,3,3,5,5,4,3,4,3.8500,5=best on every dimension,REQUIRES_SMALL_ADAPTER_WORK,LIKELY_NOT_TRIED,"All inputs exist, but objective multiplicity and proximity to existing portfolio methods reduce priority.",RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,12,H18,HMM latent-regime gating,TEMPORAL_STATE,4,4,4,4,3,2,5,3.8500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,High information gain but materially more complex than fixed anomaly/change gates.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,13,H25,XGBoost stacking strategy outputs and history,META_SELECTION,3,3,5,5,3,4,4,3.8500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Ready historical inputs but close to H01 and the directly tested XGBoost family.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,14,H16,Joint main-number/special-number conditional model,OTHER,5,5,3,2,2,3,5,3.7500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Highly orthogonal joint information source; missing legal predictive contract makes it a long shot.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,15,H26,Special-aware portfolio geometry,PORTFOLIO_OPTIMIZATION,5,5,3,2,2,3,5,3.7500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Highly orthogonal joint geometry; blocked by the missing legal special-aware producer contract.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,16,H24,Transformer as residual/meta-feature,NUMBER_LEVEL_MODEL,5,5,3,2,2,1,5,3.5500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Attention replay is not parity; potential information gain is high but deterministic causal output is absent.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,17,H28,Prospective confirmation of frozen EWMA drift H1/H2,TEMPORAL_STATE,2,3,1,5,5,5,4,3.4000,5=best on every dimension,FORWARD_READY_NOW,HIGH_CONFIDENCE_NOT_TRIED,Protocol is ready but true post-freeze evidence is calendar-gated at zero observations.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
ALL_REMAINING_RANKED,18,H23,"LSTM as residual/meta-feature, not direct ticket generator",NUMBER_LEVEL_MODEL,4,5,3,2,2,1,4,3.2500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Distinct from closed direct LSTM identities but expensive and output-not-ready.,RAW_WEIGHTED_ORDER;NOT_A_TRACK_B_PROMOTION
SECOND_WAVE_TOP_5,1,H20,Entropy/distribution-shift anomaly gating,TEMPORAL_STATE,4,4,5,5,5,5,4,4.5000,5=best on every dimension,FORWARD_READY_WITH_EXISTING_51,HIGH_CONFIDENCE_NOT_TRIED,Cheapest high-readiness temporal-state test with a clean permutation control.,DIVERSIFIED_ACROSS_TEMPORAL_META_HIGHER_ORDER_UNCERTAINTY_NUMBER_LEVEL;AFTER_CURRENT_TOP10_PROGRAM
SECOND_WAVE_TOP_5,2,H02,Complementary-error graph across strategies,META_SELECTION,4,5,5,5,3,4,5,4.5500,5=best on every dimension,REQUIRES_SMALL_ADAPTER_WORK,HIGH_CONFIDENCE_NOT_TRIED,Uses the existing outcome matrix to test cross-strategy error geometry rather than another number heuristic.,DIVERSIFIED_ACROSS_TEMPORAL_META_HIGHER_ORDER_UNCERTAINTY_NUMBER_LEVEL;AFTER_CURRENT_TOP10_PROGRAM
SECOND_WAVE_TOP_5,3,H11,Pair/triple interaction residual after marginal number scores,HIGHER_ORDER_STRUCTURE,4,5,5,4,3,3,5,4.3000,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,High-information residual test using sealed pair/triple evidence while controlling marginal effects.,DIVERSIFIED_ACROSS_TEMPORAL_META_HIGHER_ORDER_UNCERTAINTY_NUMBER_LEVEL;AFTER_CURRENT_TOP10_PROGRAM
SECOND_WAVE_TOP_5,4,H09,Predictive uncertainty / ensemble dispersion,META_SELECTION,4,5,4,3,3,4,5,4.1000,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,"Tests calibrated uncertainty, an information layer absent from static ensembles.",DIVERSIFIED_ACROSS_TEMPORAL_META_HIGHER_ORDER_UNCERTAINTY_NUMBER_LEVEL;AFTER_CURRENT_TOP10_PROGRAM
SECOND_WAVE_TOP_5,5,H08,Per-number ranking-loss model,NUMBER_LEVEL_MODEL,4,5,3,3,3,4,5,3.9500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Opens a distinct number-ranking target; readiness is limited by incomplete canonical number-level paths.,DIVERSIFIED_ACROSS_TEMPORAL_META_HIGHER_ORDER_UNCERTAINTY_NUMBER_LEVEL;AFTER_CURRENT_TOP10_PROGRAM
TOP_5_LONG_SHOTS,1,H16,Joint main-number/special-number conditional model,OTHER,5,5,3,2,2,3,5,3.7500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Highly orthogonal joint information source; missing legal predictive contract makes it a long shot.,LOWER_READINESS_OR_HIGH_COST_BUT_HIGH_ORTHOGONALITY;PRESERVE_DO_NOT_PROMOTE
TOP_5_LONG_SHOTS,2,H26,Special-aware portfolio geometry,PORTFOLIO_OPTIMIZATION,5,5,3,2,2,3,5,3.7500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Highly orthogonal joint geometry; blocked by the missing legal special-aware producer contract.,LOWER_READINESS_OR_HIGH_COST_BUT_HIGH_ORTHOGONALITY;PRESERVE_DO_NOT_PROMOTE
TOP_5_LONG_SHOTS,3,H24,Transformer as residual/meta-feature,NUMBER_LEVEL_MODEL,5,5,3,2,2,1,5,3.5500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Attention replay is not parity; potential information gain is high but deterministic causal output is absent.,LOWER_READINESS_OR_HIGH_COST_BUT_HIGH_ORTHOGONALITY;PRESERVE_DO_NOT_PROMOTE
TOP_5_LONG_SHOTS,4,H23,"LSTM as residual/meta-feature, not direct ticket generator",NUMBER_LEVEL_MODEL,4,5,3,2,2,1,4,3.2500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,Distinct from closed direct LSTM identities but expensive and output-not-ready.,LOWER_READINESS_OR_HIGH_COST_BUT_HIGH_ORTHOGONALITY;PRESERVE_DO_NOT_PROMOTE
TOP_5_LONG_SHOTS,5,H18,HMM latent-regime gating,TEMPORAL_STATE,4,4,4,4,3,2,5,3.8500,5=best on every dimension,REQUIRES_NEW_MODEL_OUTPUT,HIGH_CONFIDENCE_NOT_TRIED,High information gain but materially more complex than fixed anomaly/change gates.,LOWER_READINESS_OR_HIGH_COST_BUT_HIGH_ORTHOGONALITY;PRESERVE_DO_NOT_PROMOTE
