canonical_hypothesis_id,canonical_title,top10_program_id,top10_program_title,priority_tags,capability_id,capability_name,requirement,requirement_rationale,current_status,authority,source_path_or_artifact,coverage_count,semantic_limitation,gap_effect,historical_research_readiness,prospective_forward_readiness,discovery_readiness_0_5,forward_readiness_0_5,forward_enablement_cost_0_5,shared_capability_reuse_0_5,estimated_implementation_scope,current_available_path,gap,minimum_forward_enablement
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C01,NATIVE_TICKET_FORWARD_GENERATION,REQUIRED,Required by the minimum forward-enablement architecture.,AVAILABLE_CANONICAL,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/catalog.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=099f2a8c9ccbacc8306b2397c560bef413b24217;src/lottolab/strategies/adapters/base.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=a4e5571491c7358d8624acb8fe53f99c3bba9611,51/51 loadable current catalog paths; successful output not guaranteed for every target,Public output is main-number ticket(s) only. quick_ml is normally unusable and multiple portfolios retain source-faithful closure surfaces.,AVAILABLE_OR_DERIVABLE,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C02,STRATEGY_LEVEL_SCORE_OUTPUT,NOT_REQUIRED,Not required for this hypothesis contract.,AVAILABLE_HISTORICAL_ONLY,verified Track D sealed evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,51/51 have historical outcome metrics; 0/51 expose a canonical runtime strategy score,Trailing outcome-derived performance is not a producer-native comparable score.,NO_EFFECT,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C03,NUMBER_LEVEL_SCORE_OUTPUT,NOT_REQUIRED,Not required for this hypothesis contract.,AVAILABLE_PROXY_ONLY,sealed Candidate-K authority,/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_STRATEGY_K_HISTORICAL_MATRIX_AUTHORITY_R1/strategy_universe.json,7/51 direct historical Candidate-K ordered paths; 0/51 canonical runtime score vectors,Candidate order/exposure is not a typed score; 44 portfolios lack canonical number aggregation.,NO_EFFECT,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C04,CALIBRATED_NUMBER_PROBABILITY_OUTPUT,NOT_REQUIRED,Not required for this hypothesis contract.,MISSING_LARGE,verified Track D gap evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,0/51 canonical calibrated probability vectors,"Scores, ranks, ticket inclusion, and exposure frequency cannot be relabeled as probability.",NO_EFFECT,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C05,TICKET_LEVEL_SCORE_OUTPUT,NOT_REQUIRED,Not required for this hypothesis contract.,AVAILABLE_PROXY_ONLY,verified Track D and sealed combination evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,historical A/C and portfolio utility proxies only; 0/51 canonical runtime ticket scores,Proxy ranking/utility is objective-specific and not calibrated probability or comparable model score.,NO_EFFECT,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C06,STRATEGY_INTERNAL_RANK_OUTPUT,PROXY_FORBIDDEN,A proxy substitution would change or contaminate the hypothesis semantics.,AVAILABLE_PROXY_ONLY,verified Track D and sealed R4 evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md;/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_COMBINATION_PROSPECTIVE_FORWARD_OBSERVER_R4/observer_contract.json,0/51 canonical internal rank; A/C and R4 exposure orders are proxies,Ticket order and exposure order must never be inferred as strategy-internal rank.,FORBIDDEN_SUBSTITUTION,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C07,TRAILING_HISTORICAL_PERFORMANCE_STATE,REQUIRED,Required by the minimum forward-enablement architecture.,AVAILABLE_DERIVABLE,verified sealed historical evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,51/51 historical overlap; no generic live state service,Must be strictly lagged and objective/baseline/version specific.,AVAILABLE_OR_DERIVABLE,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C08,MULTI_WINDOW_STATE,NOT_REQUIRED,Not required for this hypothesis contract.,AVAILABLE_DERIVABLE,verified sealed historical evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md;/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_STRATEGY_K_HISTORICAL_MATRIX_AUTHORITY_R1/strategy_k_summary.csv,FULL/750/300/50 historical views available; generic live producer absent,Existing window aggregates do not automatically provide per-target forward state or derivatives.,NO_EFFECT,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C09,STRATEGY_FAMILY_STATE,OPTIONAL,"Useful sensitivity or enrichment input, but not part of minimum enablement.",AVAILABLE_CANONICAL,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/data/biglotto_full_strategy_catalog_v1.json@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=fe93150e002bd7217be54501fdc9d390f81f79db,51/51 have pinned method_family labels; 10 observed family labels,"Family taxonomy is catalog metadata, not predictive evidence.",OPTIONAL_ENHANCEMENT,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C10,CROSS_STRATEGY_RESIDUAL_STATE,REQUIRED,Required by the minimum forward-enablement architecture.,AVAILABLE_DERIVABLE,verified sealed historical evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,51/51 historical outcomes can support lagged residuals; no generic forward engine,"Residual depends on a frozen baseline, objective, eligible population, and causal cutoff.",AVAILABLE_OR_DERIVABLE,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
H01,Cross-strategy residual-gated meta-selector,H01,CROSS_STRATEGY_RESIDUAL_GATED_META_SELECTOR,TOP10_DISCOVERY_PRIORITY,C11,CROSS_STRATEGY_DISAGREEMENT_STATE,OPTIONAL,"Useful sensitivity or enrichment input, but not part of minimum enablement.",AVAILABLE_DERIVABLE,verified sealed historical evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,51/51 ticket outputs support declared disagreement measures,Ticket-support disagreement is not model uncertainty or internal rank disagreement.,OPTIONAL_ENHANCEMENT,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,5,3,3,5,M,51 exact executable historical identities supply native tickets and 10 family labels; sealed historical outcomes supply lagged residual research inputs.,"No generic live residual/state engine, frozen gate, exact forward-eligible member set, or generic observer.",Causal rolling outcome/residual ledger over capability-verified experts; deterministic frozen gate; generic two-phase observer.
